,!Compound,!Compound:Identifiers:kegg.compound,!Quantity,!QuantityType,data,ecf1,ecf1_Lower,ecf1_Upper,ecf2s,ecf2s_Lower,ecf2s_Upper,ecf2sp,ecf2sp_Lower,ecf2sp_Upper,ecf3s,ecf3s_Lower,ecf3s_Upper,ecf3sp,ecf3sp_Lower,ecf3sp_Upper,ecf4cmr,ecf4cmr_Lower,ecf4cmr_Upper,ecf4geom,ecf4geom_Lower,ecf4geom_Upper,fixed,initial,mdf,mdf_Lower,mdf_Upper,!Color,!External,!Name,glucose mean,glucose std,glucose_Lower,glucose_Upper
0,_S__Malate,C00149,Qy1,concentration,1.68,4.8659857,2.232992,10.0,5.0730829,4.8152133,5.3447621,5.0628116,4.676725599999999,5.4807709000000004,5.235279,4.858879900000001,5.6408364,5.2935476999999995,4.8593093000000005,5.7665907,6.630066499999999,5.8379054,7.529718099999999,5.5695642,5.0040997,6.1989263,,10.0,10.0,NaN,NaN,#bbaa99,0,mal,1.685342446,0.073215114,1.54184082256,1.8288440694399999
1,Acetyl_CoA,C00024,Qy2,concentration,0.606,0.1,0.05022281,0.19911273,0.10003835,0.036517429,0.27405193,7.618858099999999,4.0285928,10.0,0.10014385,0.031981428,0.31358171,0.10018542,0.030763468,0.32626744,0.13485885,0.042029290999999996,0.43271990000000005,0.10583446,0.031641487999999995,0.35399516,,0.14117472,0.13749506,NaN,NaN,#bbaa99,0,acCoA,0.606,,,
2,Fumarate,C00122,Qy3,concentration,0.115,1.2209061,0.59299114,2.5137165,1.3954784,1.2229923999999999,1.5922911,1.5247879999999998,1.1781923,1.9733438,1.450912,1.2435186000000003,1.6928944,1.5966927,1.2921622,1.9729933999999998,1.97805,1.5900689,2.4606996,1.6753831000000001,1.3482911,2.0818269,,5.1573616,5.1564461999999995,NaN,NaN,#bbaa99,0,fum,0.548242249,0.087006236,0.37771002643999996,0.71877447156
3,cis_Aconitate,C00417,Qy4,concentration,0.0161,0.029977237,0.014945258999999999,0.060128414000000005,0.032958628999999996,0.026475508999999998,0.041029286,0.00702304,0.0057180471,0.008625863000000001,0.040698048,0.032147206,0.05152333,0.040054717999999996,0.030918149,0.051891219,0.046626999,0.036107229,0.060211685,0.041838402999999996,0.032162197000000003,0.054425757000000005,,0.029026441,0.027599796,NaN,NaN,#bbaa99,0,acon,0.0161,,,
4,_6_Phospho_D_gluconate,C00345,Qy5,concentration,3.81,0.10000001,0.050222815999999997,0.19911275,0.10003328,0.036514748,0.27404427,0.097206634,0.020754453,0.45528204,0.10020863,0.032014625,0.31366196,0.10033657,0.030838656000000002,0.32645481,0.32842132,0.13391095,0.80546488,0.12231539,0.038002649,0.39368448,,0.14843585,0.14401274,NaN,NaN,#bbaa99,0,gluconate-6P,0.27853881,0.045217116,0.18991326264000002,0.36716435736
5,Orthophosphate,C00009,Qy6,concentration,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NaN,NaN,#bbaa99,1,Pi,,,,
6,Pyruvate,C00022,Qy7,concentration,0.39,0.099999985,0.050222801,0.19911269,0.09999324400000001,0.036495098999999996,0.27397237,0.026471032000000002,0.0109391,0.06405605,0.099997291,0.031909177999999996,0.31337248,0.099994585,0.030672438,0.32599029,0.11187648,0.031715165,0.39464864,0.10577234,0.031658017999999996,0.35339508,,0.060642529,0.063010686,NaN,NaN,#bbaa99,0,pyr,1.405154084,0.34792328,0.7232244552000001,2.0870837128
7,NADPplus,C00006,Qy8,concentration,0.0020800000000000003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,#bbaa99,1,NADP+,0.011288198,0.000335848,0.01062993592,0.011946460079999999
8,NADPH,C00005,Qy9,concentration,0.121,1.0,0.50222809,0.121,1.0,0.39639058,0.121,1.0,0.27295779,0.121,1.0,0.34120723,0.121,1.0,0.33225821,0.121,1.0,0.44675792,0.121,1.0,0.35225111,0.121,1.0,1.0,1.0,NaN,NaN,#bbaa99,1,NADPH,0.113891569,0.009198997,0.09586153488,0.13192160312
9,NADH,C00004,Qy10,concentration,0.0832,0.1,0.0832,0.0832,0.1,0.09472849900000001,0.0832,0.1,0.093754255,0.0832,0.1,0.09271476199999999,0.0832,0.1,0.09217633,0.0832,0.1,0.08767136199999999,0.0832,0.1,0.090030255,0.0832,0.1,0.1,0.1,NaN,NaN,#bbaa99,1,NADH,0.02741513,0.001309498,0.02484851392,0.02998174608
